word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
real,adj.,/rɪəl/,真的,true; not fake,true,genuine,actual,Is this ______ gold or just yellow?,"______ change needs action, not only words.",这是真金还是只是黄色？,真正的改变需要行动而非空话。
recently,adv.,/ˈriːsəntli/,不久前；最近,not long ago,lately,not long ago,newly,I ______ moved to a new flat.,The city ______ opened a new library.,我最近搬进了新公寓。,城市最近开放了一座新图书馆。
require,v.,/rɪˈkwaɪə/,需要；依靠,to need something,need,demand,call for,The job ______ good English.,A green city ______ everyone to sort rubbish.,这份工作需要良好的英语。,绿色城市要求人人分类垃圾。
resort,n.,/rɪˈzɔːt/,旅游胜地；度假胜地,a place people go for holidays,retreat,holiday spot,getaway,We stayed at a beach ______.,A clean ______ keeps tourists coming back.,我们住在海滨度假村。,干净的度假村让游客回访。
restaurant,n.,/ˈrɛstərɒnt/,餐馆,a place where you buy a meal,eatery,cafe,diner,We ate at a new ______ nearby.,A safe ______ matters for family health.,我们在附近一家新餐馆吃饭。,安全的餐馆对家庭健康很重要。
result,n.,/rɪˈzʌlt/,后果；结果,what happens because of something,outcome,effect,conclusion,The ______ of the match was a draw.,The ______ of good teaching is confident students.,比赛结果是平局。,良好教学的结果是自信的学生。
shopping centre,n.,/ˈʃɒpɪŋ/ /ˈsɛntə/,购物中心,a building with many shops,mall,shopping mall,arcade,We met at the ______ after school.,A big ______ can hurt small local shops.,我们放学后在购物中心碰面。,大购物中心会冲击本地小店。
sight,n.,/saɪt/,视觉；景象,something worth seeing,view,scene,attraction,The sunset was a fine ______.,A famous ______ draws crowds to a city.,日落是美景。,著名景观吸引人群来到城市。
skill,n.,/skɪl/,技术；技能,ability to do something well,ability,talent,technique,Reading is a useful ______ for life.,Practical ______ helps young people find work.,阅读是受用一生的技能。,实用技能帮助年轻人找到工作。
soup,n.,/suːp/,汤,hot liquid food eaten with a spoon,broth,stew,potage,I made vegetable ______ for lunch.,A warm ______ comforts people on cold days.,我午餐做了蔬菜汤。,热汤在冷天给人慰藉。
take part in,phr.,/teɪk/ /pɑːt/ /ɪn/,参与,to join an activity,join,enter,participate in,I ______ the school race.,Students should ______ clean-up days at school.,我参加了学校赛跑。,学生应参加学校的清洁日。
technique,n.,/tɛkˈniːk/,技术,a way of doing something,method,way,skill,This is a good study ______.,A clear ______ makes hard tasks easier.,这是好的学习技巧。,清晰的技巧让难事变易。
the sights,phr.,/ðə/ /saɪts/,景点,the places worth seeing,the attractions,the views,the landmarks,We saw ______ of the old city.,Tourists love ______ of a historic town.,我们看了老城的景点。,游客喜爱历史名城的景观。
traditional,adj.,/trəˈdɪʃənəl/,传统的,old and still used today,classic,old-style,customary,They wear ______ clothes at festivals.,______ food keeps a culture alive.,他们在节日穿传统服饰。,传统食物让文化延续。
unfortunately,adv.,/ʌnˈfɔːʧənətli/,不幸地,sadly; by bad luck,sadly,regrettably,unluckily,"______, it rained all day.","______, many old buildings were lost.",不幸的是，下了一整天雨。,不幸的是，许多老建筑消失了。
usual,adj.,/ˈjuːʒuəl/,通常的；寻常的,as happens most often,normal,common,regular,We met at the ______ time.,The ______ path is not always the best one.,我们在平时的时间见面。,平常的路未必是最好的路。
vegetable,n.,/ˈvɛʤtəbəl/,蔬菜,a plant eaten as food,veg,greens,plant food,Eat more ______ every day.,Fresh ______ in schools builds healthy habits.,每天多吃蔬菜。,学校提供新鲜蔬菜培养健康习惯。
wildlife,n.,/ˈwaɪldlaɪf/,野生生物,wild animals and plants,animals,nature,fauna,The park is rich in ______.,Protecting ______ protects the whole ecosystem.,公园里野生动物丰富。,保护野生动物就是保护整个生态。
afterwards,adv.,/ˈɑːftəwədz/,过后,after that; then,later,after,then,We ate ______ at a small cafe.,Think ______ about what you learned.,之后我们在小咖啡馆吃饭。,之后想想你学到了什么。
already,adv.,/ɔːlˈrɛdi/,已经；早已,before now; by this time,by now,before,even now,I have ______ finished my homework.,Some cities have ______ gone car-free.,我已经做完作业了。,一些城市已经实现无车化。
Arabian,adj.,/əˈreɪbiən/,阿拉伯的,from or of Arabia,from Arabia,Arab,Middle Eastern,We rode an ______ horse in the desert.,______ tales tell of trade and stars.,我们在沙漠骑了阿拉伯马。,阿拉伯故事讲述贸易与星辰。
arts and crafts,n.,/ɑːts/ /ænd/ /krɑːfts/,手工艺,making things by hand,handicrafts,handmade art,crafts,Children love ______ at the club.,______ keep old skills alive in modern life.,孩子喜欢在俱乐部做手工。,手工在现代生活中保留古老技艺。
Big Ben,n.,/bɪɡ/ /bɛn/,大本钟,a famous clock tower in London,London clock,British landmark,clock tower,We saw ______ on our trip.,______ is a symbol of a long history.,我们在旅行中看了大本钟。,大本钟是悠久历史的象征。
boil,v.,/bɔɪl/,在沸水中煮,to heat liquid until it bubbles,heat,simmer,cook,______ the water before you make tea.,Cooks ______ food to make it safe.,泡茶前先把水烧开。,厨师把食物煮熟以确保安全。
Brazil,n.,/brəˈzɪl/,巴西,a large country in South America,the South American nation,Latin country,BR,______ is famous for football and forests.,______ shows how nature and culture mix.,巴西以足球和森林闻名。,巴西展示自然与文化如何交融。
broccoli,n.,/ˈbrɒkəli/,西兰花,a green vegetable with stems,green veg,cabbage family,veg,We ate ______ with dinner.,______ is a healthy choice for school meals.,我们晚餐吃了西兰花。,西兰花是校餐的健康选择。
brown,adj.,/braʊn/,棕色的,the colour of earth or wood,tan,coffee,chestnut,The dog is ______ and small.,______ food like bread and rice feeds the world.,那只狗是棕色的小狗。,面包米饭等褐色食物养育世界。
cabbage,n.,/ˈkæbɪʤ/,卷心菜,a round green vegetable,greens,veg,leafy veg,We cooked ______ with a little salt.,______ is cheap and good for children.,我们用一点盐炒了卷心菜。,卷心菜便宜且对孩子有益。
can,v.,/kæn/,金属罐,to be able to do something,be able to,may,could,I ______ swim across the pool.,"With practice, a child ______ learn anything.",我能游过泳池。,勤加练习，孩子能学会任何事。
carrot,n.,/ˈkærət/,胡萝卜,a long orange vegetable,veg,root veg,orange veg,Rabbits eat ______ and leaves.,"______ are a cheap, healthy school snack.",兔子吃胡萝卜和叶子。,胡萝卜是便宜健康的校内零食。
category,n.,/ˈkætəɡəri/,种类,a group of similar things,group,type,class,This book fits a new ______.,Sorting waste by ______ helps the planet.,这本书属新类别。,按类别分类垃圾有益于地球。
cheese,n.,/ʧiːz/,芝士,a food made from milk,dairy,milk food,fromage,I like ______ on my bread.,Too much ______ is not good for health.,我喜欢面包上放奶酪。,过多奶酪不利健康。
chips,n.,/ʧɪps/,炸薯条（复数）,fried pieces of potato,fries,potato fries,crisps,He ate ______ with his burger.,Hot ______ are tasty but best eaten rarely.,他吃汉堡配薯条。,热薯条好吃，但最好少吃。
chop,v.,/ʧɒp/,剁碎,to cut into small pieces,cut,slice,hack,______ the onions for the soup.,Families that ______ food together teach children to cook.,把洋葱切碎做汤。,一起切菜的家庭教孩子做饭。
circular,adj.,/ˈsɜːkjələ/,圆形的,round like a circle,round,ring-shaped,oval-ish,The table is ______ and small.,A ______ road keeps traffic calm in a town.,桌子是圆形的，很小。,环形道路让小镇交通更平稳。
consonant,n.,/ˈkɒnsənənt/,辅音,"a letter that is not a, e, i, o, u",non-vowel,letter,sound,"B, C and D are ______ in English.",Counting ______ helps beginners read words.,B、C、D 是英语的辅音。,数辅音帮助初学者读单词。
curry,n.,/ˈkʌri/,咖喱,a hot spicy dish,spiced dish,stew,spicy food,We ate chicken ______ for dinner.,A mild ______ suits children who hate heat.,我们晚餐吃了咖喱鸡。,温和的咖喱适合怕辣的孩子。
decorate,v.,/ˈdɛkəreɪt/,装饰；装潢,to make a place look nice,ornament,beautify,adorn,We ______ the room for the party.,Schools ______ halls to mark big events.,我们装饰房间准备派对。,学校装饰大厅以纪念大事件。
dish,n.,/dɪʃ/,菜肴,a plate of cooked food,meal,plate,course,This ______ is from Italy.,A local ______ tells you about a region's taste.,这道菜来自意大利。,本地菜肴告诉你一个地区的口味。
dough,n.,/dəʊ/,生面团,a soft mix of flour and water,paste,batter,mix,We made ______ for the bread.,Soft ______ is the start of many foods.,我们和了做面包的面团。,柔软的面团是许多食物的开端。
download,v.,/ˌdaʊnˈləʊd/,下载,to copy a file from the internet,get,save,fetch,I ______ the file to my phone.,Students ______ books to read offline.,我把文件下载到手机。,学生下载书籍离线阅读。
dumpling,n.,/ˈdʌmplɪŋ/,饺子,a small piece of dough with filling,pasty,ravioli,pelmeni,We ate pork ______ at the market.,A ______ is a comfort food in many cultures.,我们在市场吃了猪肉饺子。,饺子在许多文化里都是慰藉食物。
enter,v.,/ˈɛntə/,进来；进入,to come or go into a place,go in,come in,join,Please ______ the room quietly.,Visitors ______ the museum through the main door.,请安静地进入房间。,访客从正门进入博物馆。
fairground,n.,/ˈfeəɡraʊnd/,露天游乐场,a place with fun rides,carnival,amusement park,funfair,We went to the ______ at the fair.,A ______ brings a town together on holidays.,我们去了游乐场。,游乐场在节日把小镇聚在一起。
filling,n.,/ˈfɪlɪŋ/,馅,the food inside something,stuffing,inside,content,The pie has a sweet ______.,A healthy ______ makes a better school meal.,馅饼里有甜的馅。,健康的馅让校餐更好。
flatmate,n.,/ˈflætmeɪt/,合住一套公寓的人,a person you share a flat with,roommate,housemate,cohabiter,My ______ studies music at college.,A tidy ______ makes shared rent happier.,我的室友在大学学音乐。,整洁的室友让合租更愉快。
flour,n.,/flaʊə/,面粉,fine powder from grain for baking,powdered grain,meal,dough base,We need ______ to bake bread.,Cheap ______ helps families eat at home.,我们需要面粉烤面包。,便宜的面粉帮助家庭在家吃饭。
fold,v.,/fəʊld/,折叠,to bend so one part covers another,bend,crease,double,______ the letter and put it in the envelope.,Children ______ paper to make simple art.,把信折好放进信封。,孩子折纸做简单的手工。
fry,v.,/fraɪ/,油煎,to cook in hot oil,deep-fry,sauté,cook in oil,We ______ the eggs in a pan.,Cooks ______ food quickly over high heat.,我们用平底锅煎蛋。,厨师用高温快煎食物。
garlic,n.,/ˈɡɑːlɪk/,大蒜,a strong-tasting white bulb,seasoning,spice,clove,Add ______ to the pasta for taste.,A little ______ keeps a dish flavourful.,给意面加点蒜提味。,一点蒜让菜有味道。
ingredient,n.,/ɪnˈɡriːdiənt/,（尤指烹饪）原料,a thing used to make food,component,part,item,List the ______ on the box.,Clear ______ lists help people with allergies.,把成分列在盒子上。,清晰的成分表帮助过敏的人。
introduction,n.,/ˌɪntrəˈdʌkʃən/,序言；引言,the first part that explains,opening,start,preface,Read the ______ of the book first.,A short ______ tells readers what to expect.,先读书的引言。,简短的引言告诉读者期待什么。
juice,n.,/ʤuːs/,汁,liquid squeezed from fruit,cider,liquid,drink,I drank orange ______ at breakfast.,Fresh ______ is a healthier drink for kids.,早餐我喝了橙汁。,鲜果汁对孩子是更健康的饮品。
Korean,adj.,/kəˈriːən/,韩国的,from or of Korea,from Korea,of Korea,Asian,She speaks ______ with her mum.,______ food is loved by young people.,她和妈妈讲韩语。,韩国食物受年轻人喜爱。
lamb,n.,/læm/,羊肉,young sheep; its meat,sheep meat,mutton,young sheep,We ate roast ______ on Sunday.,______ is a traditional meal in some cultures.,我们周日吃了烤羊肉。,羊肉在一些文化里是传统菜肴。
look forward to,phr.,/lʊk/ /ˈfɔːwəd/ /tuː/,期待；盼望,to be excited about something,expect,await,can't wait for,I ______ the summer holidays.,Students ______ the end of exams.,我期待暑假。,学生期待考试结束。
look forward to sth,phr.,/lʊk/ /ˈfɔːwəd/ /tuː/ sth,盼望,to await a thing or event,expect,await,anticipate,We ______ your reply soon.,Families ______ sth good from a school year.,我们期待很快收到你的回复。,家庭期待一学年带来好结果。
lovely,adj.,/ˈlʌvli/,有吸引力的；迷人的,very nice; pleasant,nice,pleasant,beautiful,What a ______ day for a walk!,A ______ park makes a city feel like home.,散步的好天气！,宜人的公园让城市像家一样。
menu,n.,/ˈmɛnjuː/,菜单,a list of food in a place,bill of fare,list,card,Read the ______ before you order.,A clear ______ helps guests choose well.,点餐前先看书。,清晰的菜单帮助客人选好。
method,n.,/ˈmɛθəd/,方法；办法,a way of doing something,way,approach,technique,This is a good ______ to learn words.,A clear ______ helps students study alone.,这是记单词的好方法。,清晰的方法帮助学生自学。
mix,v.,/mɪks/,混合；结合,to put different things together,blend,combine,stir,______ the eggs and milk in a bowl.,Cities ______ people from many cultures.,把蛋和奶在碗里混合。,城市融合来自多种文化的人。
mixture,n.,/ˈmɪksʧə/,混合物,things combined together,blend,combine,mix,The ______ smells good and sweet.,A good ______ of old and new keeps a city alive.,混合物闻起来香甜。,新旧交融让城市充满活力。
noodles,n.,/ˈnuːdəlz/,面条（复数）,long thin strips of dough,pasta,ribbons,dough strips,We ate chicken ______ for lunch.,______ are a cheap meal for students.,我们午餐吃了鸡肉面。,面条是学生的便宜一餐。
oil,n.,/ɔɪl/,石油；原油,a slippery liquid used in cooking,fat,grease,cooking oil,Heat the ______ in the pan first.,Too much ______ is bad for the heart.,先在锅里热油。,过多油对心脏不好。
pan,n.,/pæn/,平底锅,a flat metal pot for cooking,frying pan,pot,skillet,Put the egg in the ______ to cook.,A non-stick ______ saves time in a kitchen.,把蛋放进平底锅煮。,不粘锅节省厨房时间。
pasta,n.,/ˈpæstə/,意大利面食,food made from wheat dough,noodles,spaghetti,macaroni,We cooked ______ with tomato sauce.,______ is a quick dinner for busy families.,我们用番茄酱煮了意面。,意面是忙碌家庭的快捷晚餐。
pepper,n.,/ˈpɛpə/,胡椒粉,a hot spice; also a crisp veg,spice,seasoning,capsicum,Add black ______ to the soup.,Red ______ adds colour and taste to a meal.,给汤加点黑胡椒。,红椒为餐食增添色彩与味道。
piece,n.,/piːs/,块；片,a part of a whole,bit,part,chunk,Have a ______ of cake with tea.,A small ______ of art can brighten a room.,配茶吃一块蛋糕。,一小件艺术品能点亮房间。
plural,n.,/ˈplʊərəl/,复数的,the form used for more than one,more-than-one form,multiple form,plurals,Cats is the ______ of cat.,The ______ of most nouns just adds -s.,Cats 是 cat 的复数。,多数名词的复数只加 -s。
prepare for,phr.,/prɪˈpeə/ /fɔː/,准备,to get ready for something,get ready for,plan for,train for,We ______ the exam all week.,"Schools ______ students for life, not only tests.",我们整周为考试做准备。,学校为学生的人生而非仅为考试做准备。
River Thames,n.,/ˈrɪvə/ /tɛmz/,泰晤士河,a river flowing through London,the Thames,London river,UK river,We walked by the ______ at night.,The ______ has shaped London for centuries.,我们夜晚在泰晤士河畔散步。,泰晤士河塑造伦敦数百年。
roll,v.,/rəʊl/,滚动,to turn over and over,turn,spin,wheel,______ the dough flat with a pin.,Kids ______ down hills for fun.,用擀面杖把面团擀平。,孩子滚下山坡玩耍。
salt,n.,/sɒlt/,盐,a white powder to flavour food,seasoning,sodium,flavour,Add a little ______ to the water.,Too much ______ harms children's health.,往水里加点盐。,过多盐伤害孩子健康。
Saudi Arabia,n.,/ˈsaʊdi/ /əˈreɪbiə/,沙特阿拉伯,a country in the Middle East,the Gulf state,Middle Eastern nation,Arab country,______ is rich in oil and sand.,______ shows how wealth can fund big projects.,沙特阿拉伯富含石油与沙漠。,沙特展示财富如何资助大项目。
shape,n.,/ʃeɪp/,形状；外形,the outer form of something,form,outline,figure,What is the ______ of the cookie?,The ______ of a city affects how people move.,饼干是什么形状？,城市的形状影响人们的出行。
shrimp,n.,/ʃrɪmp/,海虾,a small sea animal you can eat,prawn,crustacean,seafood,We ate ______ with rice and veg.,______ farming gives coastal towns jobs.,我们吃了虾仁配米饭和蔬菜。,虾养殖为沿海小镇提供就业。
singular,n.,/ˈsɪŋɡjələ/,单数的,the form used for one,one form,single form,singulars,Cat is the ______ of cats.,Use the ______ when you mean one thing.,Cat 是 cats 的单数。,指一个东西时用单数。
size,n.,/saɪz/,大小,how big or small something is,dimension,extent,magnitude,What ______ is your new room?,The ______ of a class affects learning.,你的新房间多大？,班级规模影响学习。
slice,n.,/slaɪs/,薄片,a thin piece cut off,piece,cut,wedge,Have a ______ of bread with soup.,A thin ______ of cake is enough for a child.,配汤吃一片面包。,薄薄一片蛋糕对孩子已足够。
snack,n.,/snæk/,点心；小吃,a small amount of food between meals,bite,light meal,nibble,I had a ______ at four o'clock.,A healthy ______ keeps students alert.,我四点吃了点零食。,健康零食让学生保持清醒。
soft,adj.,/sɒft/,软的,not hard; gentle to touch,gentle,tender,smooth,This bed is very ______ and warm.,______ light helps a child sleep at night.,这床非常柔软温暖。,柔和的光帮助孩子夜间入睡。
south,n.,/saʊθ/,南；南方,the direction opposite north,southern,downward,southward,The wind comes from the ______.,Cities in the ______ grow fast today.,风从南边来。,南方的城市如今发展迅速。
soy sauce,n.,/sɔɪ/ /sɔːs/,酱油,a salty dark sauce from beans,soya,seasoning,brown sauce,Dip the dumpling in ______.,A little ______ adds taste without much cost.,把饺子蘸酱油。,一点酱油添味又不贵。
spaghetti,n.,/spəˈɡɛti/,意大利式细面条,long thin pasta,pasta,noodles,strands,We ate ______ with tomato sauce.,______ is a favourite quick meal for teens.,我们吃了番茄酱意面。,意面是青少年喜爱的快捷餐。
spicy,adj.,/ˈspaɪsi/,辛辣的,"with a hot, strong taste",hot,peppery,pungent,The food is too ______ for young kids.,A ______ dish may put off some eaters.,这食物对孩子太辣。,辣菜可能让一些食客却步。
spring onion,n.,/sprɪŋ/ /ˈʌnjən/,葱,a small onion with green leaves,scallion,green onion,onion,Add ______ to the fried rice.,A few ______ give a dish fresh colour.,往炒饭里加葱。,几根葱给菜添清新色彩。
stage,n.,/steɪʤ/,段；步；步骤,a raised floor for shows,platform,scene,theatre,The band is on the ______ now.,A school ______ builds a child's confidence.,乐队现在在舞台上。,学校舞台建立孩子的自信。
tasty,adj.,/ˈteɪsti/,美味的,having a good flavour,delicious,yummy,flavoursome,The soup is ______ and filling.,A ______ meal helps children eat their veg.,汤美味又管饱。,美味的餐食帮助孩子吃下蔬菜。
the United Kingdom,n.,/ðə/ /juːˈnaɪtɪd/ /ˈkɪŋdəm/,英国,a country in western Europe (Britain),the UK,Britain,England,______ has a long and rich history.,The ______ mixes old towns with new ideas.,英国有悠久丰富的历史。,英国把古老城镇与新思想融合。
thousands of,phr.,/ˈθaʊzəndz/ /ɒv/,数以千计；成千上万,a very large number,many,countless,numerous,______ people live in this city.,______ students take the test each year.,成千上万的人住在这座城市。,每年成千上万的学生参加测验。
Tower Bridge,n.,/ˈtaʊə/ /brɪʤ/,塔桥,a famous bridge in London,London bridge,British landmark,river bridge,We saw ______ over the Thames.,______ is a symbol of the city's past.,我们看了泰晤士河上的塔桥。,塔桥是城市过去的象征。
vowel,n.,/vaʊəl/,元音,"a letter a, e, i, o, u",voice sound,letter,sound,"A, E, I are ______ in English.",Learning ______ helps beginners read aloud.,A、E、I 是英语的元音。,学元音帮助初学者朗读。
walkway,n.,/ˈwɔːkweɪ/,人行道,a path made for walking,path,footpath,trail,"Use the ______ to the lake, not the road.",A safe ______ lets children walk to school.,走通往湖边的人行道，别走马路。,安全步道让孩子能走到学校。
across,prep.,/əˈkrɒs/,在……对面；,from one side to the other,over,through,cross,We walked ______ the old bridge.,A new line goes ______ the whole region.,我们走过老桥。,新线路横跨整个地区。
actor,n.,/ˈæktə/,演员,a person who performs in films,performer,player,star,He is a famous ______ in comedies.,A good ______ makes a story feel real.,他是喜剧里的著名演员。,好演员让故事显得真实。
almost,adv.,/ˈɔːlməʊst/,几乎；差不多,nearly; not quite,nearly,about,virtually,It is ______ five o'clock now.,"The work is ______ done, just check it.",快五点了。,工作快做完了，检查一下就好。
alphabet,n.,/ˈælfəbɛt/,字母表,all the letters in their order,ABC,letters,script,Children learn the ______ at age five.,The ______ is the first step to reading.,孩子五岁学字母表。,字母表是阅读的第一步。
architect,n.,/ˈɑːkɪtɛkt/,建筑师,a person who designs buildings,designer,builder planner,planner,The ______ drew the new library.,A good ______ designs schools that feel calm.,建筑师画了新图书馆。,好建筑师设计让人平静的学校。
as soon as possible,phr.,/æz/ /suːn/ /æz/ /ˈpɒsəbəl/,尽快,very soon; without delay,quickly,at once,right away,Please reply ______ to the email.,Report problems ______ so they can be fixed.,请尽快回复邮件。,尽快报告问题以便修复。
attention,n.,/əˈtɛnʃən/,注意力；留心,careful looking or listening,care,focus,notice,Please pay ______ to the teacher.,A short video wins students' ______ quickly.,请注意听老师讲。,短视频能迅速赢得学生注意。
bank,n.,/bæŋk/,银行,a place where people keep money,lender,money house,savings,I went to the ______ to open an account.,A local ______ helps small shops grow.,我去银行开账户。,本地银行帮助小店成长。
because of,phr.,/bɪˈkɒz/ /ɒv/,因为,caused by something,due to,owing to,on account of,We stayed in ______ the heavy rain.,Cities slow down ______ bad weather.,因为大雨我们待在家里。,城市因恶劣天气而放缓。
Birmingham,n.,/ˈbɜːmɪŋəm/,伯明翰,a large city in England,UK city,English city,Midlands city,______ is known for its industry.,______ shows how a city can rebuild after decline.,伯明翰以工业闻名。,伯明翰展示城市如何在衰落后重建。
close to,phr.,/kləʊz/ /tuː/,几乎；接近,near; not far from,near,by,next to,The school is ______ my home.,Living ______ school saves travel time.,学校离我家很近。,住得离学校近节省通勤时间。
club,n.,/klʌb/,社团,a group with a shared interest,group,society,team,I joined the art ______ this term.,A school ______ helps shy kids find friends.,这学期我加入了美术社。,学校社团帮害羞的孩子交朋友。
comparative,n.,/kəmˈpærətɪv/,比较级的,the form that compares two,comparing form,-er form,comparison,Bigger is the ______ of big.,"The ______ shows difference, not just size.",Bigger 是 big 的比较级。,比较级显示差异而不只是大小。
crowded,adj.,/ˈkraʊdɪd/,拥挤的,full of many people,packed,full,busy,The train was very ______ at eight.,A ______ city needs good public transport.,八点的火车非常拥挤。,拥挤的城市需要好的公共交通。
customer,n.,/ˈkʌstəmə/,顾客；主顾；客户,a person who buys things,buyer,shopper,client,The ______ paid by card at the till.,A happy ______ returns to the same shop.,顾客在收银台刷卡付款。,满意的顾客会回到同一家店。
decide on,phr.,/dɪˈsaɪd/ /ɒn/,决定；选定,to choose after thinking,choose,settle on,pick,We ______ a blue car at last.,Families should ______ a school together.,我们最终选定一辆蓝色的车。,家庭应一起选定学校。
delay,n.,/dɪˈleɪ/,推迟,a late start or arrival,late,postpone,wait,The ______ was ten minutes long.,A small ______ can spoil a whole trip.,延误了十分钟。,小小的延误会毁掉整段旅程。
department store,n.,/dɪˈpɑːtmənt/ /stɔː/,百货商店,a big shop with many sections,store,shop,retail,We met at the ______ entrance.,A ______ offers one-stop shopping for families.,我们在百货商店门口碰面。,百货商店提供一站式家庭购物。
details,n.,/ˈdiːteɪlz/,细节（复数）,small facts about something,facts,particulars,information,Tell me the ______ of the plan.,Clear ______ help parents trust a school.,告诉我计划的细节。,清晰的细节让家长信任学校。
except,prep.,/ɪkˈsɛpt/,除……之外,not including; but not,but,apart from,excluding,All came ______ him today.,"All came ______ him, who was ill.",除了他今天都来了。,除了生病的他，其他人都来了。
exhibition,n.,/ˌɛksɪˈbɪʃən/,展览,a public show of works,show,display,fair,We saw an art ______ at school.,A free ______ opens culture to the public.,我们在学校看了艺术展。,免费展览向公众开放文化。
full of energy,phr.,/fʊl/ /ɒv/ /ˈɛnəʤi/,充满活力,very lively and active,lively,energetic,active,The children were ______ after rest.,A ______ class learns more in less time.,孩子们休息后精力充沛。,精力充沛的班级用时少学得多。
full of light,phr.,/fʊl/ /ɒv/ /laɪt/,光线充分,very bright with light,bright,lit,sunny,The new room was ______ and warm.,A classroom ______ helps students focus.,新房间明亮又温暖。,明亮的教室帮助学生专注。
guidebook,n.,/ˈɡaɪdbʊk/,旅行指南,a book that guides visitors,guide,handbook,travel book,We bought a ______ of the city.,A good ______ saves time on a trip.,我们买了一本城市指南。,好指南节省旅行时间。
Italian,adj.,/ɪˈtæljən/,意大利的,from or of Italy,from Italy,of Italy,European,She speaks ______ with her friend.,______ food is loved across the world.,她和朋友讲意大利语。,意大利食物受全世界喜爱。
jewellery,n.,/ˈʤuːəlri/,珠宝,small pretty things worn on the body,gems,ornaments,accessories,She wore gold ______ to the party.,Fake ______ lets teens try new styles.,她戴着金首饰去派对。,仿首饰让青少年尝试新风格。
kilometre,n.,/kɪˈlɒmɪtə/,千米；公里,a measure of one thousand metres,km,1000 metres,klick,The lake is two ______ from here.,A ______ of safe path invites people to walk.,湖离这里两公里。,一公里安全步道吸引人们步行。
label,n.,/ˈleɪbəl/,标签,a small tag with words on it,tag,sticker,mark,Read the ______ on the bottle first.,A clear ______ tells you what is inside.,先读瓶子上的标签。,清晰的标签告诉你里面是什么。
league,n.,/liːɡ/,联赛,a group of sports teams,division,group,association,Our team joined the school ______.,A local ______ brings towns together.,我们队加入了校联赛。,本地联赛把城镇连在一起。
library,n.,/ˈlaɪbrəri/,图书馆,a place with books to borrow,book room,reading room,archive,We study in the school ______.,A good ______ is free for every child.,我们在学校图书馆学习。,好的图书馆对每个孩子免费。
lift,n.,/lɪft/,电梯；升降机,a box that moves up and down,elevator,hoist,rise,Take the ______ to the third floor.,A step-free ______ helps older people.,乘电梯到三楼。,无障碍电梯帮助老人。
low,adj.,/ləʊ/,低,not high; small in amount,small,little,short,The price is very ______ today.,A ______ birth rate worries many countries.,今天价格很低。,低出生率让许多国家担忧。
Manchester,n.,/ˈmænʧɛstə/,曼彻斯特,a large city in England,UK city,English city,Northern city,______ is famous for its two football clubs.,______ shows how industry can become culture.,曼彻斯特以两家足球俱乐部闻名。,曼彻斯特展示工业如何化为文化。
message,n.,/ˈmɛsɪʤ/,（书面/口头）信息,words sent to another person,note,text,word,I left a ______ on your desk.,A kind ______ supports a friend in need.,我在你桌上留了言。,善意的留言支持有需要的朋友。
metre,n.,/ˈmiːtə/,米,a measure of length (about a step),meter,yard (approx),unit,The pool is twenty-five ______ long.,A ______ of green space lifts a city's mood.,泳池有二十五米长。,一米绿地提升城市情绪。
motorbike,n.,/ˈməʊtəbaɪk/,摩托车,a two-wheel vehicle with an engine,motorcycle,bike,scooter,He rides a ______ to work.,A ______ uses less fuel than a car.,他骑摩托车上班。,摩托车比汽车省油。
motorway,n.,/ˈməʊtəweɪ/,高速公路,a fast big road for cars,highway,freeway,expressway,The ______ was busy at eight.,A new ______ cuts travel time between cities.,高速公路八点很忙。,新高速缩短城市间通行时间。
neighbour,n.,/ˈneɪbə/,邻居,a person living near you,neighbor,nearby person,resident,Our ______ is very kind and helpful.,A good ______ makes a street feel safe.,我们的邻居很热心。,好邻居让街道更安全。
Nobel prize,n.,/nəʊˈbɛl/ /praɪz/,诺贝尔奖,a famous world award,award,honour,medal,She won the ______ for peace.,A ______ inspires young scientists.,她获得诺贝尔和平奖。,诺贝尔奖激励年轻科学家。
noisy,adj.,/ˈnɔɪzi/,吵闹的,full of loud sound,loud,boisterous,raucous,The street is very ______ at night.,A ______ class makes learning hard.,街道夜晚很吵。,嘈杂的教室让学习变难。
north,n.,/nɔːθ/,北；北方,the direction toward the top,northern,upward,northward,Birds fly ______ in the spring.,Wind from the ______ brings cold air.,鸟春天往北飞。,北风带来冷空气。
notice,v.,/ˈnəʊtɪs/,通告；布告,to see or become aware of,see,observe,spot,Did you ______ the new shop?,Teachers should ______ a quiet child.,你注意到那家新店了吗？,老师应注意安静的孩子。
on,prep.,/ɒn/,（开；使用中；工作中）,touching the top of something,upon,atop,above,The book is ______ the table now.,A city built ______ a hill is easy to defend.,书在桌子上。,建在山上的城市易守难攻。
option,n.,/ˈɒpʃən/,选项,a choice you can take,choice,alternative,pick,We have three ______ to pick.,Free school ______ helps families find fit.,我们有三个选项可选。,自由择校帮助家庭找到合适的。
parcel,n.,/ˈpɑːsəl/,包裹,a thing wrapped to send,package,box,bundle,I posted a ______ to my aunt.,A lost ______ can delay an important gift.,我寄了个包裹给姑姑。,丢失的包裹会延误重要的礼物。
